image_name	captions
0.png	[{'caption_true': 'The yellow triangle is the biggest triangle'}, {'caption_false': 'The yellow triangle is the smallest triangle'}]
1.png	[{'caption_true': 'The blue triangle is the biggest triangle'}, {'caption_false': 'The blue triangle is the smallest triangle'}]
2.png	[{'caption_true': 'The yellow triangle is the biggest triangle'}, {'caption_false': 'The yellow triangle is the smallest triangle'}]
3.png	[{'caption_true': 'The yellow triangle is the biggest triangle'}, {'caption_false': 'The yellow triangle is the smallest triangle'}]
4.png	[{'caption_true': 'The yellow triangle is the biggest triangle'}, {'caption_false': 'The yellow triangle is the smallest triangle'}]
5.png	[{'caption_true': 'The white circle is the smallest circle'}, {'caption_false': 'The white circle is the biggest circle'}]
5.png	[{'caption_true': 'The blue circle is the biggest circle'}, {'caption_false': 'The blue circle is the smallest circle'}]
6.png	[{'caption_true': 'The red circle is the biggest circle'}, {'caption_false': 'The red circle is the smallest circle'}]
7.png	[{'caption_true': 'The green circle is the biggest circle'}, {'caption_false': 'The green circle is the smallest circle'}]
8.png	[{'caption_true': 'The white circle is the biggest circle'}, {'caption_false': 'The white circle is the smallest circle'}]
9.png	[{'caption_true': 'The blue circle is the smallest circle'}, {'caption_false': 'The blue circle is the biggest circle'}]
10.png	[{'caption_true': 'The blue square is the biggest square'}, {'caption_false': 'The blue square is the smallest square'}]
11.png	[{'caption_true': 'The red square is the biggest square'}, {'caption_false': 'The red square is the smallest square'}]
12.png	[{'caption_true': 'The yellow square is the smallest square'}, {'caption_false': 'The yellow square is the biggest square'}]
13.png	[{'caption_true': 'The green square is the biggest square'}, {'caption_false': 'The green square is the smallest square'}]
14.png	[{'caption_true': 'The red square is the smallest square'}, {'caption_false': 'The red square is the biggest square'}]
15.png	[{'caption_true': 'The yellow rectangle is the smallest rectangle'}, {'caption_false': 'The yellow rectangle is the biggest rectangle'}]
16.png	[{'caption_true': 'The yellow rectangle is the biggest rectangle'}, {'caption_false': 'The yellow rectangle is the smallest rectangle'}]
17.png	[{'caption_true': 'The blue rectangle is the biggest rectangle'}, {'caption_false': 'The blue rectangle is the smallest rectangle'}]
18.png	[{'caption_true': 'The yellow rectangle is the smallest rectangle'}, {'caption_false': 'The yellow rectangle is the biggest rectangle'}]
19.png	[{'caption_true': 'The blue rectangle is the biggest rectangle'}, {'caption_false': 'The blue rectangle is the smallest rectangle'}]
