image_name	captions
0.png	[{'k': '0.3205', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.5474', 'vagueness': 'same', 'caption_true': 'The blue triangle is a small object'}, {'k': '0.3205', 'dist_from_thresh': '0.5474', 'caption_false': 'The blue triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
0.png	[{'k': '0.3205', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.6795', 'vagueness': 'same', 'caption_true': 'The red circle is a small object'}, {'k': '0.3205', 'dist_from_thresh': '0.6795', 'caption_false': 'The red circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
0.png	[{'k': '0.3205', 'prob_RH_R_true': '0.9678', 'dist_from_thresh:': '0.1858', 'vagueness': 'same', 'caption_true': 'The green rectangle is a small object'}, {'k': '0.3205', 'dist_from_thresh': '0.1858', 'caption_false': 'The green rectangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0322'}]
1.png	[{'k': '0.2367', 'prob_RH_R_true': '0.9524', 'dist_from_thresh:': '0.5067', 'vagueness': 'same', 'caption_true': 'The white circle is a small object'}, {'k': '0.2367', 'dist_from_thresh': '0.5067', 'caption_false': 'The white circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0476'}]
1.png	[{'k': '0.2367', 'prob_RH_R_true': '0.7536', 'dist_from_thresh:': '0.2083', 'vagueness': 'same', 'caption_true': 'The white triangle is a big object'}, {'k': '0.2367', 'dist_from_thresh': '0.2083', 'caption_false': 'The white triangle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.2464'}]
1.png	[{'k': '0.2367', 'prob_RH_R_true': '0.6384', 'dist_from_thresh:': '0.1075', 'vagueness': 'same', 'caption_true': 'The blue triangle is a small object'}, {'k': '0.2367', 'dist_from_thresh': '0.1075', 'caption_false': 'The blue triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.3616'}]
1.png	[{'k': '0.2367', 'prob_RH_R_true': '0.6384', 'dist_from_thresh:': '0.1075', 'vagueness': 'same', 'caption_true': 'The blue rectangle is a small object'}, {'k': '0.2367', 'dist_from_thresh': '0.1075', 'caption_false': 'The blue rectangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.3616'}]
1.png	[{'k': '0.2367', 'prob_RH_R_true': '0.6384', 'dist_from_thresh:': '0.1075', 'vagueness': 'same', 'caption_true': 'The yellow triangle is a small object'}, {'k': '0.2367', 'dist_from_thresh': '0.1075', 'caption_false': 'The yellow triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.3616'}]
2.png	[{'k': '0.2941', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.6434', 'vagueness': 'same', 'caption_true': 'The blue triangle is a small object'}, {'k': '0.2941', 'dist_from_thresh': '0.6434', 'caption_false': 'The blue triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
2.png	[{'k': '0.2941', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.6744', 'vagueness': 'same', 'caption_true': 'The blue circle is a small object'}, {'k': '0.2941', 'dist_from_thresh': '0.6744', 'caption_false': 'The blue circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
2.png	[{'k': '0.2941', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.6116', 'vagueness': 'same', 'caption_true': 'The green circle is a small object'}, {'k': '0.2941', 'dist_from_thresh': '0.6116', 'caption_false': 'The green circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
2.png	[{'k': '0.2941', 'prob_RH_R_true': '0.9958', 'dist_from_thresh:': '0.2941', 'vagueness': 'same', 'caption_true': 'The yellow triangle is a big object'}, {'k': '0.2941', 'dist_from_thresh': '0.2941', 'caption_false': 'The yellow triangle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.0042'}]
3.png	[{'k': '0.2655', 'prob_RH_R_true': '0.9734', 'dist_from_thresh:': '0.2655', 'vagueness': 'same', 'caption_true': 'The blue square is a big object'}, {'k': '0.2655', 'dist_from_thresh': '0.2655', 'caption_false': 'The blue square is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.0266'}]
3.png	[{'k': '0.2655', 'prob_RH_R_true': '0.6601', 'dist_from_thresh:': '0.0567', 'vagueness': 'same', 'caption_true': 'The white triangle is a big object'}, {'k': '0.2655', 'dist_from_thresh': '0.0567', 'caption_false': 'The white triangle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.3399'}]
3.png	[{'k': '0.2655', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.5587', 'vagueness': 'same', 'caption_true': 'The red triangle is a small object'}, {'k': '0.2655', 'dist_from_thresh': '0.5587', 'caption_false': 'The red triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
3.png	[{'k': '0.2655', 'prob_RH_R_true': '0.98', 'dist_from_thresh:': '0.2821', 'vagueness': 'same', 'caption_true': 'The yellow circle is a small object'}, {'k': '0.2655', 'dist_from_thresh': '0.2821', 'caption_false': 'The yellow circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.02'}]
4.png	[{'k': '0.2946', 'prob_RH_R_true': '0.9933', 'dist_from_thresh:': '0.2946', 'vagueness': 'same', 'caption_true': 'The green square is a big object'}, {'k': '0.2946', 'dist_from_thresh': '0.2946', 'caption_false': 'The green square is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.0067'}]
4.png	[{'k': '0.2946', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.7054', 'vagueness': 'same', 'caption_true': 'The yellow rectangle is a small object'}, {'k': '0.2946', 'dist_from_thresh': '0.7054', 'caption_false': 'The yellow rectangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
4.png	[{'k': '0.2946', 'prob_RH_R_true': '0.9933', 'dist_from_thresh:': '0.2946', 'vagueness': 'same', 'caption_true': 'The green triangle is a big object'}, {'k': '0.2946', 'dist_from_thresh': '0.2946', 'caption_false': 'The green triangle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.0067'}]
4.png	[{'k': '0.2946', 'prob_RH_R_true': '0.6513', 'dist_from_thresh:': '0.0463', 'vagueness': 'same', 'caption_true': 'The white circle is a big object'}, {'k': '0.2946', 'dist_from_thresh': '0.0463', 'caption_false': 'The white circle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.3487'}]
4.png	[{'k': '0.2946', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.5149', 'vagueness': 'same', 'caption_true': 'The yellow triangle is a small object'}, {'k': '0.2946', 'dist_from_thresh': '0.5149', 'caption_false': 'The yellow triangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
5.png	[{'k': '0.337', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.5201', 'vagueness': 'same', 'caption_true': 'The green square is a small object'}, {'k': '0.337', 'dist_from_thresh': '0.5201', 'caption_false': 'The green square is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
5.png	[{'k': '0.337', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.6315', 'vagueness': 'same', 'caption_true': 'The yellow circle is a small object'}, {'k': '0.337', 'dist_from_thresh': '0.6315', 'caption_false': 'The yellow circle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
5.png	[{'k': '0.337', 'prob_RH_R_true': '1.0', 'dist_from_thresh:': '0.5201', 'vagueness': 'same', 'caption_true': 'The green rectangle is a small object'}, {'k': '0.337', 'dist_from_thresh': '0.5201', 'caption_false': 'The green rectangle is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0'}]
5.png	[{'k': '0.337', 'prob_RH_R_true': '0.9999', 'dist_from_thresh:': '0.4219', 'vagueness': 'same', 'caption_true': 'The blue square is a small object'}, {'k': '0.337', 'dist_from_thresh': '0.4219', 'caption_false': 'The blue square is a big object', 'vagueness': 'same', 'prob_RH_R_false': '0.0001'}]
5.png	[{'k': '0.337', 'prob_RH_R_true': '0.9987', 'dist_from_thresh:': '0.337', 'vagueness': 'same', 'caption_true': 'The yellow triangle is a big object'}, {'k': '0.337', 'dist_from_thresh': '0.337', 'caption_false': 'The yellow triangle is a small object', 'vagueness': 'same', 'prob_RH_R_false': '0.0013'}]
